etg_name,G_Cormoran,H_Cendre,G_Aigrette,G_Huppe,G_Castagneux,C_Tubercule,M_Rieuse,H_Bievre,y_lat,x_long
BALANCET,12,6,3,0,2,0,1,0,46.0082981,4.999824
BATAILLARD,1,2,2,66,5,0,0,0,46.1096625,5.1079015
BIETONNAY,0,0,1,0,0,0,0,0,46.0027216,5.1527271
BLENEY,0,0,1,0,0,0,0,0,46.0831617,5.1423431
BOIS,14,2,0,0,0,9,0,0,46.0305073019117,5.03332279622555
BRET,0,7,2,0,0,1,3,0,45.9929468,5.1445862
BUYERE,0,3,1,0,0,2,0,0,45.9311964,5.006344
CARRONNIER,0,3,2,0,0,0,0,0,46.0138534,5.1580924
CHAFFANGE,0,7,2,0,0,0,0,0,46.1042537,5.0923371
CHANAUDIDIER,0,1,0,0,0,0,0,0,45.9451095,5.0831553
CHANTEMERLE,1,1,1,0,0,0,0,0,45.998445,5.1525355
CHAPELIER,16,23,1,0,0,0,4,0,45.9793824,5.0995011
CHARDONNET,0,5,2,0,0,7,0,0,46.0063253,4.9424799
CHASSAGNE,5,1,1,3,0,4,0,0,45.9950164,4.942127
CHEVRIER,0,1,1,0,0,0,0,0,45.930558,4.958442
CLOSURE,0,2,2,0,0,0,0,0,46.0055327,4.9997348
CONCHE EST,0,2,0,0,0,0,0,0,45.9404811,5.003603
CORALIN,0,0,0,0,0,73,0,0,46.0590846,4.9528829
CORVEYZIEUX,0,3,1,0,0,11,0,0,46.0337162,5.1510441
CULATTE,0,0,0,0,0,1,0,0,45.9999133,4.929106
DEVANT,2,4,0,0,0,0,0,0,46.0660417,5.1664204
ETROIT,1,2,0,0,0,0,0,0,45.95019,5.0819373
FAVIERE,0,3,1,0,0,0,0,0,46.0603934,5.1583059
FORET (pt),0,2,1,0,0,6,0,0,46.0339713,5.0138939
"FORET, gd",9,4,5,93,15,3,14,0,46.0151918046176,4.99098102562129
FOUR,0,6,4,0,0,2,0,0,46.0183018,5.1527364
FOUR EST/merlatier,0,1,0,0,0,0,0,0,46.0172897,5.1554532
FRETAY EST,0,1,0,0,0,0,0,0,46.0297094285488,5.00349394977093
GAINE,0,10,2,0,0,0,0,0,46.0682651,5.1716229
GAVIGNONS,1,3,0,0,0,1,0,0,46.0402391,5.0086714
GELINIERE,3,7,0,1,0,2,2,0,46.0612853,5.0016779
GORGEY EST,0,0,0,0,0,4,0,0,45.9964269,4.9467938
GOURD,0,1,0,0,0,2,0,0,46.1050219,5.0976374
GRAND ETG DU MONTELLIER,0,0,0,0,2,0,0,0,45.940149,5.0783813
GRAND GLAREINS E,0,4,12,0,0,33,0,0,45.9727770276368,4.98990562744439
GRAND GLAREINS O,0,19,1,0,0,4,0,0,45.9733326220885,4.98746582306921
GRAND MARAIS,2,2,22,43,16,1,0,0,46.070503,5.1773215
GRAND ROMANS,0,13,3,0,0,0,1,0,46.1049638,5.0836307
GRAND TARON,0,2,1,0,0,2,0,0,45.9644907,5.1129333
GRANDE BERROTIERE,0,2,1,0,0,0,70,0,46.0294947,5.0315995
GRANDE BOZONNIERE,0,4,1,0,0,0,0,0,46.0254383,5.0195031
GRANDES BROSSES,0,1,1,0,0,0,0,0,46.0636656,4.99012
GRANDES VERNAYES,5,46,9,0,0,0,12,0,45.9566361,5.1057113
GRAVIER,0,4,2,0,0,0,1,0,45.9893334237859,4.96842473745346
LACROIX,19,1,0,0,0,0,0,0,45.9843672718853,4.98077161610126
LAYES,0,1,1,0,1,2,0,0,46.0755855543539,4.97804674319923
LECHERE,0,2,1,0,0,0,0,0,46.0107485,5.1599643
MEZERAY,1,3,0,0,0,6,0,0,45.9856913,5.1105625
MOIROUX,0,1,1,0,0,28,0,0,46.0482966,5.0077571
MOIROUX GAUCHE,0,1,0,0,0,0,0,0,46.0481937043369,5.00751080922782
MOISSONNET,0,1,1,0,0,2,0,0,46.0596271,5.0062704
MOLARD,0,4,4,0,0,2,0,0,46.0732275,5.091928
NEUF RIOM,2,8,13,1,0,0,1850,0,46.028440,4.974291
NEYRIEUX,1,1,1,0,0,0,0,0,45.9502622,5.082
NIECE,0,0,0,0,0,2,0,0,46.0638367,5.1552264
OSIERS,1,0,0,0,0,0,80,0,45.9598246,5.0977715
PAVIOT,3,1,1,0,0,19,0,0,46.0763435717672,4.96613706462085
PELOUX,0,25,27,0,0,0,750,0,46.0290062,4.9745659
PERVETIERE,0,4,0,0,0,3,0,0,46.0625741,5.1000329
PETIT ETANG LA ROUE,0,1,0,0,0,8,0,0,46.0286795,5.1543615
PETIT MARAIS,31,0,1,0,0,88,0,0,46.0720843,5.1761828
PETIT PETTELAN,0,1,1,0,0,0,0,0,46.0611442,4.9620201
PETITE BOZONNIERE,0,1,0,0,0,0,0,0,46.0304933041334,5.00393651425838
PETITE CHAUX,0,1,0,0,0,0,0,0,46.0587002,5.1569161
PETITE CHEVALIERE,0,1,1,0,0,1,0,0,46.0756495,4.9780398
PETITES BONNES,0,6,1,0,0,0,0,0,46.0612549,5.0965421
PETTELAN,1,2,2,0,3,2,0,0,46.0662507,4.9623954
PLANCHE OUEST,0,20,2,1,0,5,0,0,45.9703638,5.1350593
PLAT,0,1,1,0,0,0,0,0,46.0174774,5.1493
PORTE,0,5,1,0,0,1,0,0,45.9861924,5.1147861
QUEUE,0,0,1,0,0,1,0,0,46.0156485,5.1563888
QUINSON,0,2,0,0,0,0,0,0,45.983557915315,4.97324466705322
RATAY,0,0,1,0,0,0,0,0,46.084393,5.085404
REBOTAN,0,1,0,0,0,0,0,0,46.0812686,5.0834977
RENOLLY,0,0,1,0,0,4,0,0,46.0850407,5.1686518
RISOLET,0,1,1,0,0,0,0,0,46.0634628,5.1544815
ROLLET,5,6,2,12,0,0,370,0,45.9942564,4.9695597
RONCINE,0,43,0,0,0,0,71,0,46.0681814,5.1715243
RONZEAU,0,2,1,0,0,0,0,0,46.0768226,4.9613651
SUZANNE,0,1,1,0,0,0,0,0,46.0347158,4.9607801
TOUR DE VERFEY,3,2,1,0,0,0,0,0,46.0890677,5.1574892
TREMBLAY,2,2,0,1,0,1,0,0,46.0743804,4.9608946
TROLET,90,2,2,0,0,0,0,0,46.0746172,4.9576026
VAVRES NORD,0,6,3,0,0,7,270,0,46.0733011,5.1003255
VIALLY,1,2,1,0,0,0,0,0,46.0133327,4.9772027
