id,bird_sp,bird_num,f_key
1,h_cendre,2,uuid:9703d6d9-2010-4e45-90d6-70bfbeb78b6d
2,h_cendre,4,uuid:4ba12981-b389-47d2-bf6d-6905b252fc92
3,g_aigrette,2,uuid:4ba12981-b389-47d2-bf6d-6905b252fc92
4,m_rieuse,1,uuid:4ba12981-b389-47d2-bf6d-6905b252fc92
5,cormo,19,uuid:f8d2ec86-08ff-4d94-8e15-a1cc5fbeae3a
6,h_cendre,1,uuid:f8d2ec86-08ff-4d94-8e15-a1cc5fbeae3a
7,c_tuber,4,uuid:9c0748a4-5028-4fd7-b0a6-dc6a5073cf8e
8,h_cendre,19,uuid:9c0748a4-5028-4fd7-b0a6-dc6a5073cf8e
9,g_aigrette,1,uuid:9c0748a4-5028-4fd7-b0a6-dc6a5073cf8e
10,c_tuber,33,uuid:f0215a53-22c8-4939-99f9-191b54417c11
11,cormo,2,uuid:e41f8594-1054-4bb0-a743-706a894dcc58
12,h_cendre,2,uuid:e41f8594-1054-4bb0-a743-706a894dcc58
13,g_aigrette,22,uuid:e41f8594-1054-4bb0-a743-706a894dcc58
14,c_tuber,1,uuid:e41f8594-1054-4bb0-a743-706a894dcc58
15,g_huppe,43,uuid:e41f8594-1054-4bb0-a743-706a894dcc58
16,g_casta,16,uuid:e41f8594-1054-4bb0-a743-706a894dcc58
17,h_cendre,43,uuid:305962d4-555c-4e1c-91af-68a80ea39c1a
18,m_rieuse,71,uuid:305962d4-555c-4e1c-91af-68a80ea39c1a
19,h_cendre,10,uuid:ee443500-15cc-4795-a88f-19d2631e0fd6
20,g_aigrette,2,uuid:ee443500-15cc-4795-a88f-19d2631e0fd6
21,h_cendre,4,uuid:21b65bbf-5e88-4543-be9e-b102ec7e6b1f
22,cormo,2,uuid:21b65bbf-5e88-4543-be9e-b102ec7e6b1f
23,h_cendre,1,uuid:f85c21c7-3b56-4f81-9de8-be645a4a789a
24,g_aigrette,1,uuid:f85c21c7-3b56-4f81-9de8-be645a4a789a
25,c_tuber,2,uuid:b0ca7781-4877-4284-9bbd-95b5f37526cb
26,h_cendre,3,uuid:3f1b93ae-d61d-4029-8a03-f39a1e4847dc
27,g_aigrette,1,uuid:3f1b93ae-d61d-4029-8a03-f39a1e4847dc
28,h_cendre,1,uuid:6b7663f8-1803-47ba-b2d0-5e586c3a6bc1
29,h_cendre,3,uuid:14dd8995-d823-46d0-a880-e1cdd62a2bbc
30,c_tuber,11,uuid:14dd8995-d823-46d0-a880-e1cdd62a2bbc
31,g_aigrette,1,uuid:14dd8995-d823-46d0-a880-e1cdd62a2bbc
32,c_tuber,8,uuid:b47afb1b-9b1a-4058-bfab-0c0c889fb91a
33,h_cendre,1,uuid:b47afb1b-9b1a-4058-bfab-0c0c889fb91a
34,h_cendre,1,uuid:7d6df7d9-8f38-4cf5-b7f9-c12ddbc77fff
35,g_aigrette,1,uuid:7d6df7d9-8f38-4cf5-b7f9-c12ddbc77fff
36,h_cendre,6,uuid:e433a98c-70d5-46c5-85cb-40f98fa35490
37,c_tuber,2,uuid:e433a98c-70d5-46c5-85cb-40f98fa35490
38,g_aigrette,4,uuid:e433a98c-70d5-46c5-85cb-40f98fa35490
39,h_cendre,1,uuid:b6893b9d-5399-4704-b50b-7a638e5e5239
40,c_tuber,1,uuid:a0e24c42-5c54-4157-9392-138cf45b815b
41,g_aigrette,1,uuid:a0e24c42-5c54-4157-9392-138cf45b815b
42,h_cendre,3,uuid:955cba59-60e4-4001-a80a-de9a3b7b4420
43,g_aigrette,2,uuid:955cba59-60e4-4001-a80a-de9a3b7b4420
44,h_cendre,2,uuid:83c3efd6-a9f8-40c4-84be-3ea6808deb92
45,g_aigrette,1,uuid:83c3efd6-a9f8-40c4-84be-3ea6808deb92
46,g_aigrette,1,uuid:91f4d583-2a86-4d72-ba2a-a1383e456df2
47,cormo,1,uuid:a851af75-0014-4c54-8872-0c6013fc7aed
48,g_aigrette,1,uuid:a851af75-0014-4c54-8872-0c6013fc7aed
49,h_cendre,1,uuid:a851af75-0014-4c54-8872-0c6013fc7aed
50,h_cendre,7,uuid:b50856af-2ce3-44ec-8728-d8d71b176da8
51,g_aigrette,2,uuid:b50856af-2ce3-44ec-8728-d8d71b176da8
52,m_rieuse,3,uuid:b50856af-2ce3-44ec-8728-d8d71b176da8
53,c_tuber,1,uuid:b50856af-2ce3-44ec-8728-d8d71b176da8
54,c_tuber,1,uuid:74daabaf-b074-42be-8034-986b6ea5f023
55,h_cendre,5,uuid:74daabaf-b074-42be-8034-986b6ea5f023
56,g_aigrette,1,uuid:74daabaf-b074-42be-8034-986b6ea5f023
57,h_cendre,3,uuid:7c519f3c-a250-44c2-8368-023befd1a567
58,cormo,1,uuid:7c519f3c-a250-44c2-8368-023befd1a567
59,c_tuber,6,uuid:7c519f3c-a250-44c2-8368-023befd1a567
60,h_cendre,23,uuid:f72e41ea-c8f1-41eb-8f50-1ef6ff2d1350
61,cormo,16,uuid:f72e41ea-c8f1-41eb-8f50-1ef6ff2d1350
62,m_rieuse,4,uuid:f72e41ea-c8f1-41eb-8f50-1ef6ff2d1350
63,g_aigrette,1,uuid:f72e41ea-c8f1-41eb-8f50-1ef6ff2d1350
64,g_aigrette,2,uuid:62e3ccd8-5020-4adb-8a12-d9c83ef3812b
65,h_cendre,20,uuid:62e3ccd8-5020-4adb-8a12-d9c83ef3812b
66,g_huppe,1,uuid:62e3ccd8-5020-4adb-8a12-d9c83ef3812b
67,c_tuber,5,uuid:62e3ccd8-5020-4adb-8a12-d9c83ef3812b
68,c_tuber,2,uuid:01aed39d-67f5-404d-a30f-693b7d8e541f
69,h_cendre,2,uuid:01aed39d-67f5-404d-a30f-693b7d8e541f
70,g_aigrette,1,uuid:01aed39d-67f5-404d-a30f-693b7d8e541f
71,m_rieuse,80,uuid:e305ae91-c182-4e26-a4f2-fcda18a9c20a
72,cormo,1,uuid:e305ae91-c182-4e26-a4f2-fcda18a9c20a
73,cormo,5,uuid:3ec7b976-dd3f-409d-81bd-c9fb0dee7bba
74,h_cendre,46,uuid:3ec7b976-dd3f-409d-81bd-c9fb0dee7bba
75,g_aigrette,9,uuid:3ec7b976-dd3f-409d-81bd-c9fb0dee7bba
76,m_rieuse,12,uuid:3ec7b976-dd3f-409d-81bd-c9fb0dee7bba
77,h_cendre,1,uuid:4b9de35b-318e-4936-8299-c513d9d3192c
78,h_cendre,2,uuid:bf735df5-0b22-498a-8b85-075015d9fa94
79,cormo,1,uuid:bf735df5-0b22-498a-8b85-075015d9fa94
80,cormo,1,uuid:39f75030-8254-4d7f-84e5-a32359988996
81,h_cendre,1,uuid:39f75030-8254-4d7f-84e5-a32359988996
82,g_aigrette,1,uuid:39f75030-8254-4d7f-84e5-a32359988996
83,g_casta,2,uuid:ed39d9f6-73a9-4a26-b47c-80ce7043d729
84,h_cendre,1,uuid:6cbc5b0d-e2c9-4829-aa75-85950028cc96
85,g_aigrette,1,uuid:6cbc5b0d-e2c9-4829-aa75-85950028cc96
86,h_cendre,4,uuid:281c6f21-2184-4130-bb51-2946eacd2d7a
87,g_aigrette,4,uuid:281c6f21-2184-4130-bb51-2946eacd2d7a
88,c_tuber,2,uuid:281c6f21-2184-4130-bb51-2946eacd2d7a
89,g_aigrette,1,uuid:575f220b-fe9a-4600-a84a-8d2bd741b3a7
90,h_cendre,1,uuid:1e444e94-e466-485d-94e8-37927e5c4d00
91,h_cendre,13,uuid:a209d8c2-d560-4ece-896f-fb85067e7f10
92,g_aigrette,3,uuid:a209d8c2-d560-4ece-896f-fb85067e7f10
93,m_rieuse,1,uuid:a209d8c2-d560-4ece-896f-fb85067e7f10
94,g_aigrette,2,uuid:5aed412a-905e-4a5d-bbe0-609408f94563
95,h_cendre,7,uuid:5aed412a-905e-4a5d-bbe0-609408f94563
96,h_cendre,1,uuid:0f8b88d5-02d5-4625-89c0-18c16c43bafe
97,c_tuber,2,uuid:0f8b88d5-02d5-4625-89c0-18c16c43bafe
98,h_cendre,2,uuid:20ecff2d-86ce-4e55-954b-b7c94f7aa6d0
99,cormo,1,uuid:20ecff2d-86ce-4e55-954b-b7c94f7aa6d0
100,g_aigrette,2,uuid:20ecff2d-86ce-4e55-954b-b7c94f7aa6d0
101,g_casta,5,uuid:20ecff2d-86ce-4e55-954b-b7c94f7aa6d0
102,g_huppe,66,uuid:20ecff2d-86ce-4e55-954b-b7c94f7aa6d0
103,g_aigrette,1,uuid:eb449f3d-1b4f-4c85-a1a4-b5204a4b67e7
104,g_aigrette,1,uuid:495aab14-bbcd-4b1a-9069-0a6697e54cfb
105,cormo,3,uuid:495aab14-bbcd-4b1a-9069-0a6697e54cfb
106,h_cendre,2,uuid:495aab14-bbcd-4b1a-9069-0a6697e54cfb
107,g_aigrette,1,uuid:79add422-1d33-4b86-a0b3-71a79e4afc5f
108,c_tuber,4,uuid:79add422-1d33-4b86-a0b3-71a79e4afc5f
109,cormo,31,uuid:4afd516e-5b99-411d-8343-83e868a2a075
110,c_tuber,88,uuid:4afd516e-5b99-411d-8343-83e868a2a075
111,g_aigrette,1,uuid:4afd516e-5b99-411d-8343-83e868a2a075
112,h_cendre,6,uuid:de57c578-403b-4a19-aab9-d78388dd3d28
113,g_aigrette,3,uuid:de57c578-403b-4a19-aab9-d78388dd3d28
114,c_tuber,7,uuid:de57c578-403b-4a19-aab9-d78388dd3d28
115,m_rieuse,270,uuid:de57c578-403b-4a19-aab9-d78388dd3d28
116,h_cendre,4,uuid:e352a93b-0f20-40d0-9fc4-ce80f616fe2d
117,c_tuber,3,uuid:e352a93b-0f20-40d0-9fc4-ce80f616fe2d
118,h_cendre,6,uuid:093b353a-7185-4f2d-a1de-efdc35674cd6
119,g_aigrette,1,uuid:093b353a-7185-4f2d-a1de-efdc35674cd6
120,h_cendre,2,uuid:df1e98fb-10d5-4b27-8b40-c4fbfde03114
121,g_aigrette,1,uuid:df1e98fb-10d5-4b27-8b40-c4fbfde03114
122,m_rieuse,70,uuid:df1e98fb-10d5-4b27-8b40-c4fbfde03114
123,h_cendre,4,uuid:f7e37f27-c37e-4aff-b792-13a261eefb1e
124,g_aigrette,1,uuid:f7e37f27-c37e-4aff-b792-13a261eefb1e
125,h_cendre,25,uuid:73b4764f-ce9f-4fec-bd0d-1e3bbc30a2a1
126,g_aigrette,27,uuid:73b4764f-ce9f-4fec-bd0d-1e3bbc30a2a1
127,m_rieuse,750,uuid:73b4764f-ce9f-4fec-bd0d-1e3bbc30a2a1
128,g_aigrette,1,uuid:453646ba-fa78-4526-ab95-c0b7e0186f2e
129,h_cendre,1,uuid:453646ba-fa78-4526-ab95-c0b7e0186f2e
130,c_tuber,73,uuid:385c7cb9-8a85-4c1a-93ef-da1ac3291ad5
